Vehicle 1		Vehicle 2		Vehicle 3		Vehicle 4	
tau1 (s)	u1 (rad/s)	tau2 (s)	u2 (rad/s)	tau3 (s)	u3 (rad/s)	tau4 (s)	u4 (rad/s)
-0.6289802325	-1	-0.454979169	-1	-1.06452357	1	-1.041835039	1
-0.622497305	1	-0.4485132998	-1	-1.058984984	-1	-1.036551311	1
-0.6160091156	-1	-0.4420425505	-1	-1.05343325	1	-1.031256741	-1
-0.6095155705	1	-0.4355668731	-1	-1.047865195	1	-1.025969151	1
-0.6030169496	-1	-0.4290861895	-1	-1.042291481	-1	-1.020684368	-1
-0.5965135979	1	-0.422600387	-1	-1.036708573	-1	-1.01539669	1
-0.59000547	-1	-0.4161093197	-1	-1.031114139	1	-1.010102231	-1
-0.5834925115	1	-0.4096128233	-1	-1.025507415	1	-1.004810795	-1
-0.5769746784	-1	-0.4031107338	-1	-1.019887967	1	-0.9995170278	1
-0.5704519516	-1	-0.3966028992	-1	-1.014255005	1	-0.9942154359	1
-0.5639242276	1	-0.3900891895	-1	-1.008614816	-1	-0.988903922	-1
-0.5573913192	-1	-0.3835701384	-1	-1.002968475	1	-0.9835904088	1
-0.5508530101	-1	-0.3770461875	-1	-0.9973179338	1	-0.978270058	-1
-0.5443090793	1	-0.3705172591	-1	-0.9916592517	1	-0.9729387348	1
-0.5377592937	-1	-0.3639832869	-1	-0.9860022891	1	-0.9675935523	-1
-0.5312033955	-1	-0.3574442211	-1	-0.9803424948	1	-0.9622383385	-1
-0.5246411032	1	-0.3508999886	-1	-0.9746760792	-1	-0.9568740315	1
-0.5180721735	-1	-0.3443504742	-1	-0.968999842	1	-0.9515007931	1
-0.5114972523	1	-0.3377955226	-1	-0.9633175027	1	-0.9461165386	-1
-0.5049161252	-1	-0.3312349443	-1	-0.9576329008	1	-0.940718041	1
-0.4983291494	1	-0.324668521	-1	-0.9519401552	1	-0.9353208465	-1
-0.4917364865	1	-0.3180960137	-1	-0.9462343612	1	-0.9299199629	-1
-0.4851380889	-1	-0.3115173227	-1	-0.94051299	1	-0.9245198702	1
-0.4785338669	1	-0.3049330487	-1	-0.9347809424	1	-0.9191223526	-1
-0.4719236806	-1	-0.2983432184	-1	-0.9290418303	1	-0.9137211531	1
-0.4653081663	1	-0.2917478409	1	-0.9232939223	1	-0.9083099838	1
-0.4586877359	-1	-0.2851468955	-1	-0.9175361987	1	-0.9028991037	-1
-0.4520626307	1	-0.2785411113	1	-0.9117673218	1	-0.8974839778	1
-0.4454327737	-1	-0.2719304334	-1	-0.9059941613	1	-0.89205932	-1
-0.4387980283	1	-0.2653148018	1	-0.9002215211	1	-0.8866209219	-1
-0.432158257	-1	-0.2586944541	-1	-0.8944437931	1	-0.8811766305	1
-0.4255133224	1	-0.2520693557	1	-0.8886562974	1	-0.8757234917	-1
-0.4188630893	-1	-0.2454394015	1	-0.8828618591	-1	-0.8702586529	1
-0.4122074257	1	-0.2388044803	-1	-0.8770654474	-1	-0.8647803955	-1
-0.4055462046	-1	-0.2321644767	1	-0.8712617061	-1	-0.8592877906	1
-0.3988793938	1	-0.2255192727	-1	-0.865445753	1	-0.8537836044	-1
-0.3922069654	-1	-0.2188687505	-1	-0.8596170716	-1	-0.8482689323	1
-0.3855288079	1	-0.2122127934	1	-0.8537844649	-1	-0.8427478597	-1
-0.3788448143	-1	-0.2055512877	-1	-0.8479433996	1	-0.8372306272	-1
-0.3721548818	1	-0.1988841838	1	-0.8420893538	-1	-0.8317098199	1
-0.3654589821	-1	-0.1922115023	-1	-0.8362214866	-1	-0.8261850569	-1
-0.3587569863	1	-0.1855331374	1	-0.8303433059	1	-0.8206622937	1
-0.3520492001	-1	-0.1788489848	-1	-0.8244596639	-1	-0.8151348945	-1
-0.3453356682	1	-0.1721589407	1	-0.8185691346	-1	-0.8095964856	1
-0.3386162423	-1	-0.1654629014	-1	-0.8126699653	-1	-0.8040544779	-1
-0.331891349	1	-0.1587608354	1	-0.8067719681	1	-0.7985063035	1
-0.3251609296	-1	-0.1520528841	-1	-0.8008737801	-1	-0.7929472813	-1
-0.318424775	1	-0.1453390989	1	-0.7949695421	-1	-0.7873740511	-1
-0.3116837478	1	-0.1386198017	-1	-0.7890544157	-1	-0.7817909846	1
-0.3049375248	-1	-0.1318951517	1	-0.7831298975	1	-0.7761986738	-1
-0.2981857659	1	-0.1251649343	-1	-0.777204081	-1	-0.7705952883	1
-0.2914281085	-1	-0.1184289361	1	-0.7712724638	-1	-0.7649797231	-1
-0.2846641664	1	-0.111687188	-1	-0.7653293363	1	-0.7593512199	-1
-0.277893997	-1	-0.1049399639	1	-0.7593699064	-1	-0.7537090172	1
-0.2711181449	1	-0.09818694671	-1	-0.7533967989	-1	-0.748056477	-1
-0.2643362276	-1	-0.09142781318	1	-0.7474173417	-1	-0.7424068786	1
-0.2575478503	1	-0.08466305046	1	-0.7414295955	-1	-0.7367531497	-1
-0.2507526096	1	-0.07789292349	-1	-0.7354313445	-1	-0.7310970592	-1
-0.2439501021	-1	-0.07111705101	1	-0.7294205011	1	-0.7254416765	-1
-0.2371404668	-1	-0.06433503905	-1	-0.7233983273	-1	-0.7197807546	1
-0.2303235159	1	-0.05754648762	1	-0.7173709474	-1	-0.7141083131	-1
-0.2234988631	-1	-0.05075099566	-1	-0.7113382963	-1	-0.7084328273	-1
-0.2166665597	-1	-0.04394887513	1	-0.7053031901	-1	-0.7027500517	-1
-0.2098273676	1	-0.03713976711	-1	-0.69926278	1	-0.6970558585	1
-0.2029807217	-1	-0.03032312913	-1	-0.693218457	-1	-0.6913472623	-1
-0.1961264454	1	-0.02349859992	1	-0.6871707179	-1	-0.6856294768	-1
-0.1892638036	-1	-0.01666603162	-1	-0.6811172748	-1	-0.6799020473	-1
-0.1823921002	1	-0.009826707537	1	-0.675055452	1	-0.6741635457	-1
-0.1755106616	-1	-0.002979906534	1	-0.6689820134	-1	-0.6684131289	-1
-0.1686189489	1	0.003874429678	-1	-0.6628936625	-1	-0.6626501574	1
-0.1617188917	-1	0.01073707522	1	-0.6567990983	1	-0.6568763341	-1
-0.1548094251	-1	0.01760876932	-1	-0.6506988847	-1	-0.651093382	-1
-0.1478896085	1	0.02449021122	1	-0.6446028286	-1	-0.6453004794	-1
-0.1409586103	1	0.03138179156	1	-0.6385048049	-1	-0.6395093686	-1
-0.1340157382	-1	0.03828176233	-1	-0.6323982777	1	-0.6337177118	-1
-0.1270616358	1	0.04519119846	-1	-0.6262870775	-1	-0.6279200812	-1
-0.1200969075	-1	0.05211101957	-1	-0.6201622582	-1	-0.6221170043	-1
-0.1131205378	1	0.05904203143	1	-0.6140104346	-1	-0.6163100224	-1
-0.106132042	-1	0.06598491405	-1	-0.6078542691	-1	-0.6104952169	-1
-0.09913199866	1	0.07293904675	1	-0.6016952406	-1	-0.6046687554	-1
-0.09212032541	-1	0.07990379005	-1	-0.5955331257	-1	-0.5988347099	-1
-0.08509696676	1	0.08688017013	1	-0.5893656612	-1	-0.5929919122	-1
-0.07806212225	-1	0.09386848794	1	-0.5831904404	-1	-0.5871379212	-1
-0.07101605858	1	0.1008683213	-1	-0.5770080781	-1	-0.5812711462	-1
-0.06395841204	-1	0.1078798153	1	-0.5708215109	-1	-0.5753929283	-1
-0.05689013521	1	0.1149030347	-1	-0.5646255762	-1	-0.5695057822	-1
-0.04981291254	-1	0.1219378787	1	-0.5584248372	-1	-0.5636091123	-1
-0.04272668656	1	0.128983942	-1	-0.5522291283	-1	-0.5577023334	1
-0.03563086687	-1	0.1360415882	-1	-0.546038249	1	-0.551784645	1
-0.02852516919	1	0.143109865	1	-0.5398490143	-1	-0.5458553926	-1
-0.02140925316	-1	0.1501870875	-1	-0.5336560825	-1	-0.5399231518	-1
-0.01428294919	1	0.1572733135	1	-0.5274519089	1	-0.5339901832	0
-0.007146455145	-1	0.1643691331	-1	-0.5212270926	-1	-0.528052681	1
0		0.1714748308	1	-0.5149896612	-1	-0.5221073348	-1
		0.1785907468	-1	-0.5087534802	-1	-0.5161578253	1
		0.1857170508	1	-0.5025101037	-1	-0.5102020188	-1
		0.1928535449		-0.4962566469	-1	-0.5042374186	-1
				-0.4899948713	-1	-0.4982634542	0
				-0.483725505	-1	-0.492281664	-1
				-0.4774525335	-1	-0.4862898804	0
				-0.4711724595	-1	-0.4802864881	0
				-0.4648851319	-1	-0.4742713834	0
				-0.4585914673	-1	-0.4682472396	-1
				-0.4522959059	-1	-0.4622139929	1
				-0.4459985278	-1	-0.4561716053	1
				-0.4396978438	-1	-0.4501196687	1
					-1	-0.4440608294	1
					1	-0.4380011204	-1
					-1	-0.43193795	-1
					-1	-0.425868396	-1
					-1	-0.4197926318	-1
					-1	-0.4137118762	-1
					-1	-0.4076242338	-1
					-1	-0.401527661	-1
					-1	-0.3954220267	-1
					-1	-0.3893090276	-1
					-1	-0.3831864097	-1
					-1	-0.3770521706	-1
					-1	-0.3709064275	-1
					-1	-0.3647516861	-1
					-1	-0.3585879532	-1
					-1	-0.3524154897	-1
					-1	-0.3462341186	-1
					-1	-0.3400432024	-1
					-1	-0.3338479543	-1
					-1	-0.3276467406	-1
					-1	-0.3214407205	-1
					-1	-0.3152283815	-1
					-1	-0.3090085725	1
					-1	-0.3027808301	1
					-1	-0.2965469718	1
					-1	-0.290306013	1
					-1	-0.2840568921	1
					-1	-0.2777985225	1
					-1	-0.2715329674	1
					-1	-0.2652595232	1
					-1	-0.258977268	1
					-1	-0.2526855667	1
					-1	-0.2463855801	1
					-1	-0.2400783581	1
					-1	-0.2337639886	1
					-1	-0.2274422424	1
					-1	-0.2211126673	1
					-1	-0.2147766259	1
					-1	-0.2084349919	1
					-1	-0.2020887667	1
					-1	-0.1957379528	1
					-1	-0.1893825497	1
					-1	-0.1830225522	1
					-1	-0.1766579497	1
					-1	-0.1702887262	1
					-1	-0.1639148598	1
					-1	-0.157536323	1
					-1	-0.1511530833	1
					-1	-0.1447651237	1
					-1	-0.138372458	1
					-1	-0.131975057	-1
					-1	-0.1255728911	1
					-1	-0.119166013	1
					-1	-0.1127543442	1
					-1	-0.1063378131	-1
					-1	-0.0999163728	-1
					-1	-0.09348997971	1
					-1	-0.08705865556	-1
					-1	-0.08062238824	1
					-1	-0.07418115426	1
					-1	-0.06773492728	-1
					-1	-0.0612836805	1
